CurrentAcc_None,NumMonths,CreditHistory_Delay,CreditHistory_none/paid,Collateral_savings/life_insurance,CurrentAcc_GE200,Purpose_repairs,Purpose_radio/tv,Gender,Age,CreditStatus
0,6,0,0,0,0,0,1,1,1,1
0,48,0,1,0,0,0,1,0,0,0
1,12,0,0,0,0,0,0,1,1,1
0,42,0,1,1,0,0,0,1,1,1
0,24,1,0,0,0,0,0,1,1,0
1,36,0,1,0,0,0,0,1,1,1
1,24,0,1,1,0,0,0,1,1,1
0,36,0,1,0,0,0,0,1,1,1
1,12,0,1,0,0,0,1,1,1,1
0,30,0,0,0,0,0,0,1,1,0
0,12,0,1,0,0,0,0,0,0,0
0,48,0,1,1,0,0,0,0,0,0
0,12,0,1,0,0,0,1,0,0,1
0,24,0,0,0,0,0,0,1,1,0
0,15,0,1,0,0,0,0,0,1,1
0,24,0,1,0,0,0,1,0,1,0
1,24,0,0,1,0,0,1,1,1,1
0,30,0,1,0,0,0,0,1,0,1
0,24,0,1,0,0,0,0,0,1,0
1,24,0,1,0,0,0,1,1,1,1
1,9,0,0,0,0,0,0,1,1,1
0,6,0,1,0,0,0,1,1,1,1
0,10,0,0,0,0,0,0,1,1,1
0,12,0,0,1,0,0,0,1,1,1
1,10,0,0,0,0,0,0,1,1,1
0,6,0,1,0,0,0,0,1,1,1
1,6,0,1,0,0,0,1,1,1,1
0,12,0,1,0,1,0,1,0,1,1
0,7,0,1,0,0,0,1,1,1,1
0,60,1,0,0,0,0,0,1,1,0
0,18,0,1,0,0,0,0,1,1,1
0,24,0,1,0,0,0,0,1,1,1
0,18,0,1,0,0,0,0,1,1,1
1,12,0,0,0,0,0,0,1,1,1
0,12,0,1,1,1,0,0,0,1,1
0,45,0,0,1,0,0,1,1,0,0
1,48,0,0,0,0,0,0,1,1,1
0,18,0,1,0,1,0,1,1,1,0
0,10,0,1,0,1,0,0,1,1,1
0,9,0,1,0,0,0,1,1,0,1
1,30,0,1,0,0,0,1,1,1,1
0,12,0,1,0,0,0,1,1,1,1
0,18,1,0,0,0,1,0,1,1,1
0,30,0,0,0,0,0,0,1,0,1
0,48,0,0,0,0,0,0,0,1,0
1,11,0,0,0,0,0,0,0,1,1
1,36,0,1,0,0,0,1,1,1,1
0,6,0,1,1,0,0,0,0,0,1
1,11,0,0,1,0,0,0,1,1,1
1,12,0,1,0,0,0,1,0,1,1
0,24,1,0,1,0,0,0,1,1,1
0,27,1,0,0,0,0,0,1,1,1
1,12,0,1,0,0,0,1,1,0,1
1,18,0,1,1,0,0,0,1,1,1
0,36,1,0,0,0,0,0,1,1,0
1,6,0,1,0,0,0,0,1,1,1
0,12,0,1,0,0,0,1,1,1,0
1,36,0,0,0,0,0,1,0,1,1
0,18,0,1,0,1,0,0,0,0,1
0,36,0,0,0,0,0,0,0,0,0
0,9,0,1,0,0,0,0,1,1,1
0,15,0,0,0,0,0,1,1,1,1
0,36,0,1,0,0,0,0,1,1,0
0,48,0,1,0,0,0,0,1,0,0
1,24,0,1,1,0,0,1,0,1,1
1,27,0,1,1,0,1,0,1,1,1
1,12,0,1,0,0,0,1,0,1,1
0,12,0,1,0,0,0,0,1,0,1
1,36,0,1,0,0,0,0,1,1,0
1,36,0,1,0,0,0,1,0,0,1
1,36,0,1,1,0,0,0,0,1,1
1,7,0,0,1,0,0,1,1,1,1
0,8,0,0,0,0,0,0,1,1,1
0,42,0,0,0,0,0,0,0,1,1
0,36,0,1,0,0,0,0,1,1,0
0,12,0,0,0,0,0,0,1,1,1
0,42,0,1,0,0,0,1,1,1,0
0,11,1,0,1,0,0,1,1,1,1
1,54,0,1,1,0,0,0,1,1,1
0,30,0,1,1,0,0,0,1,0,1
1,24,0,1,0,0,0,1,0,1,0
1,15,0,1,1,0,0,1,1,1,1
1,18,0,1,1,0,0,0,0,0,1
0,24,0,1,0,0,0,0,0,1,1
0,10,0,1,0,0,0,1,1,1,1
1,12,0,0,0,0,0,0,0,1,1
0,18,0,0,1,0,0,0,0,1,1
0,36,0,1,0,0,0,0,1,1,0
0,18,0,1,0,0,0,0,1,1,1
0,12,0,1,0,0,1,0,1,1,0
1,12,0,0,0,0,0,1,1,1,1
0,12,0,0,0,0,0,0,1,1,1
1,12,0,0,1,0,0,1,0,1,0
0,24,0,0,0,1,0,0,1,0,1
0,12,0,1,0,0,0,0,1,1,1
0,54,0,1,0,0,0,0,1,1,0
1,12,0,0,0,0,0,0,0,1,1
0,18,0,1,0,0,0,0,1,1,1
0,36,0,0,0,0,0,1,1,1,1
0,20,1,0,1,0,0,0,1,1,1
1,24,0,1,0,0,0,0,1,1,1
0,36,0,1,0,0,0,1,1,0,1
1,6,1,0,0,0,0,1,0,0,1
0,9,0,0,0,0,0,0,1,1,1
1,12,0,1,0,0,0,0,1,1,1
0,24,0,0,0,0,0,0,1,1,0
1,18,0,1,0,0,0,0,1,1,0
0,12,0,1,0,0,0,0,1,1,1
0,24,0,1,1,0,0,0,0,1,1
0,14,0,1,0,0,0,0,1,1,1
0,6,1,0,0,0,0,0,1,1,1
0,15,0,1,1,1,0,0,0,0,1
0,18,0,1,0,0,0,0,1,1,1
1,36,0,0,0,0,0,0,0,0,0
0,12,0,1,0,0,0,1,1,1,1
1,48,0,0,0,0,0,1,1,1,1
0,42,0,1,0,0,0,1,0,1,0
0,10,0,0,0,0,0,0,0,1,1
0,33,0,0,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,1,1,1
0,21,0,1,0,0,0,1,0,0,0
1,24,0,0,0,0,0,0,0,1,1
1,12,0,1,0,0,0,0,1,0,1
0,10,0,0,0,1,0,0,1,1,1
0,18,0,1,0,0,0,0,0,1,0
0,12,0,0,1,0,0,0,1,1,1
0,12,0,1,0,0,0,1,1,1,1
0,12,0,1,0,0,1,0,1,1,0
0,12,0,0,0,0,0,0,1,1,1
0,12,0,0,0,0,0,0,0,1,0
0,48,0,1,0,0,0,0,0,0,1
0,36,1,0,1,0,0,0,1,1,0
1,15,0,1,1,0,0,0,1,1,1
1,18,0,1,0,0,0,0,1,1,1
1,60,0,1,0,0,0,1,0,0,1
1,12,0,0,0,0,0,1,0,1,1
1,27,1,0,0,0,0,0,1,1,1
0,12,0,1,0,0,0,1,1,1,0
0,15,0,0,0,0,0,1,1,1,1
0,12,0,1,0,1,0,1,0,1,1
0,6,0,1,0,1,0,0,1,1,1
0,36,0,1,0,0,0,1,0,1,1
0,27,0,1,0,0,0,1,1,1,1
0,18,0,1,0,0,0,0,1,0,0
1,21,0,0,1,0,0,0,0,0,1
0,48,0,1,0,0,0,0,1,1,1
0,6,0,0,0,0,0,0,0,1,1
1,12,0,0,0,0,0,0,0,1,1
0,36,0,0,1,0,0,0,1,1,1
1,18,0,0,0,0,0,1,1,1,1
1,6,0,1,0,0,0,1,1,1,1
1,10,0,1,1,0,0,1,1,1,1
0,36,0,1,0,1,0,1,1,0,1
0,24,0,0,0,0,0,0,0,1,1
0,24,1,0,0,0,0,0,1,1,1
0,12,0,1,0,0,0,0,0,0,0
0,9,0,0,0,0,1,0,1,1,1
0,12,0,1,0,0,0,0,1,1,1
0,24,0,1,0,0,0,0,1,1,1
1,6,0,0,0,0,0,1,1,1,1
1,24,0,0,0,0,0,1,1,1,1
